City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Adamstown,-25.066,-130.1015,23.25,84,12,5.85,PN,1702613578
1,Puerto Natales,-51.7236,-72.4875,4.41,91,88,1.47,CL,1702613588
2,Taco Pozo,-25.6167,-63.2833,25.4,80,100,2.19,AR,1702613706
3,Grytviken,-54.2811,-36.5092,3.07,71,2,1.78,GS,1702613578
4,Anadyr,64.75,177.4833,-10.72,85,40,15.0,RU,1702613686
5,Atafu Village,-8.5421,-172.5159,28.18,79,96,6.81,TK,1702613593
6,Whitehorse,60.7161,-135.0538,0.43,93,100,6.17,CA,1702613675
7,Haverfordwest,51.8017,-4.9691,8.36,80,100,3.7,GB,1702613698
8,Puerto Baquerizo Moreno,-0.9,-89.6,23.9,90,27,4.64,EC,1702613708
9,Anguera,-12.151,-39.2453,19.83,97,44,1.28,BR,1702613708
10,Cidreira,-30.1811,-50.2056,22.81,94,100,4.72,BR,1702613696
11,Avarua,-21.2078,-159.775,26.03,73,100,4.12,CK,1702613638
12,Ascension,30.2169,-90.9001,15.0,51,0,3.09,US,1702613709
13,Hachinohe,40.5,141.5,1.0,96,100,1.2,JP,1702613709
14,Hawaiian Paradise Park,19.5933,-154.9731,22.15,79,100,6.17,US,1702613547
15,Aasiaat,68.7098,-52.8699,-22.09,99,84,4.37,GL,1702613710
16,Codrington,-38.2667,141.9667,17.95,52,91,6.35,AU,1702613711
17,West Island,-12.1568,96.8225,29.99,70,82,4.12,CC,1702613685
18,Ribeira Grande,38.5167,-28.7,17.65,94,91,7.15,PT,1702613595
19,Blackmans Bay,-43.0167,147.3167,17.63,50,100,0.89,AU,1702613585
20,Prince George,53.9166,-122.753,-3.54,95,100,3.6,CA,1702613697
21,Kingston,17.997,-76.7936,24.53,96,40,4.12,JM,1702613686
22,Sena Madureira,-9.0656,-68.6569,25.02,91,100,1.26,BR,1702613471
23,Afaahiti,-17.75,-149.2833,27.93,82,100,9.09,PF,1702613713
24,Ilulissat,69.2167,-51.1,-11.99,56,75,7.2,GL,1702613594
25,Margaret River,-33.95,115.0667,23.35,40,3,5.1,AU,1702613653
26,Sherbakul',54.6316,72.3963,-26.16,85,43,2.49,RU,1702613714
27,Puerto Deseado,-47.7503,-65.8938,17.09,35,50,12.85,AR,1702613929
28,Magadan,59.5667,150.8,-14.59,70,61,3.9,RU,1702613456
29,Bilibino,68.0546,166.4372,-25.89,87,3,3.64,RU,1702613672
30,Alegrete,-29.7831,-55.7919,24.15,92,100,3.42,BR,1702613715
